Probe,logFC,p.val,adj.p.val
1641025_at,-8.62E-02,2.17E-05,2.39E-03
1633370_s_at,1.05E-01,2.24E-05,2.45E-03
1627384_at,1.35E-01,2.28E-05,2.47E-03
1623961_at,1.45E-01,2.28E-05,2.47E-03
1637919_at,-1.50E-01,2.44E-05,2.63E-03
1625949_at,1.51E-01,2.50E-05,2.68E-03
1639575_at,-1.97E-01,2.70E-05,2.87E-03
1637372_at,-3.16E-01,2.76E-05,2.92E-03
1639202_a_at,-9.08E-02,2.79E-05,2.93E-03
1635970_at,-7.46E-02,2.80E-05,2.93E-03
1632639_at,-2.96E-01,2.82E-05,2.94E-03
1625304_s_at,2.11E-01,2.85E-05,2.95E-03
1639550_a_at,-1.24E-01,2.96E-05,3.05E-03
1626875_at,-1.38E-01,2.98E-05,3.05E-03
1634854_at,-2.19E-01,3.02E-05,3.07E-03
1626182_a_at,1.65E-01,3.16E-05,3.21E-03
1628821_at,1.22E-01,3.23E-05,3.25E-03
1625892_a_at,1.77E-01,3.24E-05,3.25E-03
1628127_at,-1.29E-01,3.34E-05,3.34E-03
1638469_s_at,2.24E-01,3.40E-05,3.38E-03
1636071_a_at,2.63E-01,3.55E-05,3.50E-03
1638078_at,8.74E-02,3.75E-05,3.67E-03
1625522_at,1.35E-01,3.77E-05,3.67E-03
1635299_at,1.24E-01,3.79E-05,3.67E-03
1641428_at,-1.48E-01,3.79E-05,3.67E-03
1638652_at,1.07E-01,4.04E-05,3.88E-03
1625144_at,-8.65E-02,4.09E-05,3.90E-03
1623983_at,2.62E-01,4.09E-05,3.90E-03
1636343_at,-5.39E-01,4.21E-05,3.99E-03
1627024_s_at,1.69E-01,4.26E-05,4.01E-03
1624506_at,-2.09E-01,4.32E-05,4.05E-03
1626301_at,-2.43E-01,4.36E-05,4.07E-03
1631370_at,-2.12E-01,4.44E-05,4.13E-03
1630333_at,8.17E-01,4.50E-05,4.16E-03
1625630_at,2.33E-01,4.57E-05,4.21E-03
1636585_a_at,1.02E-01,4.63E-05,4.24E-03
1632828_at,-7.61E-02,4.76E-05,4.34E-03
1629691_at,-1.32E-01,4.84E-05,4.39E-03
AFFX-r2-Dros-GAPDH-3_at,1.52E-01,4.93E-05,4.44E-03
1637819_at,1.77E-01,4.96E-05,4.46E-03
1629952_at,-1.57E-01,5.03E-05,4.49E-03
1641105_at,-1.00E-01,5.08E-05,4.52E-03
1624596_at,-2.83E-01,5.15E-05,4.55E-03
1626298_at,-1.33E-01,5.20E-05,4.55E-03
1628992_at,-1.48E-01,5.21E-05,4.55E-03
1634118_at,1.60E-01,5.25E-05,4.55E-03
1624377_s_at,-2.37E-01,5.26E-05,4.55E-03
1635135_at,2.29E-01,5.26E-05,4.55E-03
1641189_a_at,1.42E-01,5.41E-05,4.66E-03
1628699_at,-4.84E-01,5.48E-05,4.70E-03
1635389_s_at,-3.16E-01,5.54E-05,4.70E-03
1624715_at,-2.21E-01,5.56E-05,4.70E-03
1633969_at,2.99E-01,5.57E-05,4.70E-03
1630180_at,2.14E-01,5.59E-05,4.70E-03
1639278_at,-3.67E-01,5.65E-05,4.74E-03
1629015_a_at,9.15E-02,5.69E-05,4.75E-03
1632200_s_at,2.43E-01,5.71E-05,4.75E-03
1625563_s_at,1.71E-01,5.79E-05,4.79E-03
1629078_s_at,1.29E-01,5.88E-05,4.82E-03
1639396_s_at,-1.73E-01,5.89E-05,4.82E-03
1639046_at,-7.50E-02,5.90E-05,4.82E-03
1629434_at,1.92E-01,5.97E-05,4.86E-03
1629453_at,1.86E-01,6.06E-05,4.91E-03
1639242_a_at,-6.88E-02,6.12E-05,4.93E-03
1636657_at,1.42E-01,6.22E-05,4.99E-03
1628628_at,1.14E-01,6.25E-05,5.00E-03
1639868_at,1.73E-01,6.30E-05,5.01E-03
1628459_at,1.19E-01,6.51E-05,5.16E-03
1634305_at,1.98E-01,6.57E-05,5.19E-03
1631797_at,1.87E-01,6.60E-05,5.19E-03
1636876_at,-1.10E-01,6.64E-05,5.19E-03
1639374_s_at,-1.66E-01,6.66E-05,5.19E-03
1631235_at,-1.59E-01,6.73E-05,5.23E-03
1641478_s_at,1.53E-01,6.83E-05,5.28E-03
1632975_at,-1.67E-01,6.87E-05,5.29E-03
1640835_a_at,-1.17E-01,6.99E-05,5.37E-03
1631787_at,1.03E-01,7.16E-05,5.47E-03
1632735_at,1.42E-01,7.36E-05,5.60E-03
1634229_at,-9.96E-02,7.48E-05,5.67E-03
