Probe,logFC,p.val,adj.p.val
1625402_at,1.26E-01,6.94E-05,6.36E-03
1638338_a_at,-1.64E-01,7.10E-05,6.47E-03
1630274_s_at,-9.71E-02,7.18E-05,6.51E-03
1633425_at,2.34E-01,7.34E-05,6.62E-03
1631066_at,-4.26E-01,7.43E-05,6.67E-03
1633545_at,2.67E-01,7.66E-05,6.84E-03
1623518_s_at,9.01E-02,7.71E-05,6.84E-03
1631529_at,2.79E-01,7.75E-05,6.84E-03
1622921_at,6.67E-02,7.77E-05,6.84E-03
1628237_s_at,-6.39E-02,7.82E-05,6.84E-03
1635136_at,1.02E-01,7.83E-05,6.84E-03
1627520_at,9.66E-02,8.15E-05,7.08E-03
1634928_at,-1.52E-01,8.26E-05,7.13E-03
1629953_at,-1.23E-01,8.28E-05,7.13E-03
1628474_at,-1.34E-01,8.40E-05,7.20E-03
1637094_at,1.39E-01,8.46E-05,7.20E-03
1636905_at,-2.68E-01,8.47E-05,7.20E-03
1630543_at,-8.25E-02,8.51E-05,7.20E-03
1641270_at,-3.59E-01,8.58E-05,7.23E-03
1629875_a_at,3.06E-01,8.77E-05,7.29E-03
1628613_a_at,1.41E-01,8.80E-05,7.29E-03
1626831_at,-7.57E-02,8.82E-05,7.29E-03
1628317_at,-1.79E-01,8.83E-05,7.29E-03
1627262_at,-1.69E-01,8.85E-05,7.29E-03
1625044_at,1.39E-01,8.90E-05,7.30E-03
1627862_at,-1.37E-01,8.96E-05,7.32E-03
1638264_at,-1.061771068,9.30E-05,7.55E-03
1635741_a_at,-1.43E-01,9.32E-05,7.55E-03
1626941_at,1.49E-01,9.56E-05,7.71E-03
1638953_a_at,-6.47E-02,9.85E-05,7.91E-03
1627194_at,-2.52E-01,1.01E-04,8.10E-03
1630361_at,-1.87E-01,1.02E-04,8.10E-03
1628232_at,-1.39E-01,1.05E-04,8.35E-03
1639727_at,-1.03E-01,1.07E-04,8.42E-03
1639729_s_at,3.55E-01,1.08E-04,8.49E-03
1630573_at,-8.92E-02,1.09E-04,8.56E-03
1639442_a_at,3.01E-01,1.12E-04,8.70E-03
1623616_at,-8.44E-02,1.12E-04,8.71E-03
1635686_at,9.35E-02,1.13E-04,8.71E-03
1640324_at,1.55E-01,1.13E-04,8.71E-03
1628394_at,8.74E-02,1.14E-04,8.76E-03
1623658_at,-1.25E-01,1.15E-04,8.76E-03
1625430_at,-1.38E-01,1.16E-04,8.76E-03
1633058_at,-2.08E-01,1.16E-04,8.76E-03
1625755_at,-1.12E-01,1.16E-04,8.76E-03
1641134_at,-6.98E-02,1.21E-04,9.11E-03
1632358_at,-9.92E-02,1.22E-04,9.11E-03
1624007_at,1.28E-01,1.23E-04,9.18E-03
1625538_at,-4.50E-01,1.26E-04,9.35E-03
1628579_at,-2.07E-01,1.30E-04,9.61E-03
1628989_at,2.94E-01,1.31E-04,9.65E-03
1625196_a_at,1.01E-01,1.33E-04,9.76E-03
1636879_at,-1.74E-01,1.38E-04,1.01E-02
1636378_a_at,-1.61E-01,1.41E-04,1.03E-02
1630476_s_at,-9.19E-02,1.42E-04,1.03E-02
1631143_at,7.44E-02,1.43E-04,1.03E-02
1632210_at,-2.66E-01,1.44E-04,1.04E-02
1624787_s_at,1.52E-01,1.47E-04,1.06E-02
1624922_at,-8.75E-02,1.48E-04,1.06E-02
1622908_a_at,-2.41E-01,1.49E-04,1.06E-02
1626815_a_at,-1.28E-01,1.49E-04,1.06E-02
1637804_at,2.04E-01,1.54E-04,1.09E-02
1631608_at,-2.91E-01,1.63E-04,1.15E-02
1640097_at,1.37E-01,1.69E-04,1.18E-02
1629195_at,-9.48E-02,1.69E-04,1.18E-02
1625587_at,1.60E-01,1.70E-04,1.18E-02
1631614_at,-1.00E-01,1.72E-04,1.19E-02
1635666_at,-1.53E-01,1.74E-04,1.20E-02
1632239_at,8.60E-02,1.74E-04,1.20E-02
1625912_at,7.93E-02,1.76E-04,1.21E-02
1638042_at,8.78E-02,1.83E-04,1.25E-02
1641173_at,8.21E-02,1.84E-04,1.25E-02
1636958_s_at,-8.32E-02,1.86E-04,1.26E-02
1624984_at,-1.11E-01,1.91E-04,1.29E-02
1633701_at,1.25E-01,1.93E-04,1.30E-02
1629745_at,-1.95E-01,1.95E-04,1.31E-02
1634507_s_at,-1.09E-01,1.99E-04,1.33E-02
1628298_at,-1.56E-01,2.05E-04,1.37E-02
1629252_at,1.11E-01,2.07E-04,1.38E-02
1639304_at,8.77E-02,2.08E-04,1.38E-02
1639741_at,-2.00E-01,2.11E-04,1.39E-02
1641718_at,-6.71E-02,2.11E-04,1.39E-02
1625814_at,6.64E-02,2.13E-04,1.39E-02
1634796_at,-1.27E-01,2.16E-04,1.41E-02
1631581_at,-1.51E-01,2.17E-04,1.41E-02
1633283_at,-5.70E-02,2.20E-04,1.42E-02
1634838_at,-1.46E-01,2.20E-04,1.42E-02
1640990_at,-1.33E-01,2.21E-04,1.42E-02
1634573_a_at,-9.03E-02,2.22E-04,1.42E-02
1624090_at,-1.21E-01,2.23E-04,1.43E-02
1641627_at,1.73E-01,2.25E-04,1.43E-02
1635328_at,-1.04E-01,2.25E-04,1.43E-02
1629811_at,-2.01E-01,2.25E-04,1.43E-02
1634063_a_at,-1.24E-01,2.26E-04,1.43E-02
1624100_at,-1.85E-01,2.27E-04,1.43E-02
1625122_at,1.43E-01,2.29E-04,1.43E-02
1624395_at,-1.24E-01,2.29E-04,1.43E-02
1623848_a_at,2.91E-01,2.36E-04,1.47E-02
1638481_at,1.67E-01,2.39E-04,1.49E-02
1630454_at,7.79E-02,2.40E-04,1.49E-02
1631234_at,1.70E-01,2.49E-04,1.54E-02
1625042_at,2.83E-01,2.50E-04,1.54E-02
1627445_s_at,-1.70E-01,2.51E-04,1.54E-02
1639934_at,3.32E-01,2.53E-04,1.55E-02
1626404_a_at,7.97E-02,2.55E-04,1.55E-02
1640407_at,1.61E-01,2.55E-04,1.55E-02
1626175_at,-7.98E-02,2.58E-04,1.56E-02
1625202_at,9.01E-02,2.64E-04,1.59E-02
1623573_s_at,-6.15E-02,2.70E-04,1.63E-02
1640737_at,1.03E-01,2.73E-04,1.63E-02
1634112_a_at,-4.92E-02,2.73E-04,1.63E-02
1626422_at,8.01E-02,2.74E-04,1.63E-02
1637611_at,-5.19E-02,2.75E-04,1.63E-02
1641375_at,-1.33E-01,2.76E-04,1.63E-02
1632207_a_at,-1.06E-01,2.82E-04,1.67E-02
1624137_at,-2.45E-01,2.87E-04,1.69E-02
1633086_s_at,-1.20E-01,2.96E-04,1.72E-02
1636667_at,8.50E-02,2.97E-04,1.72E-02
1624061_at,-2.54E-01,2.98E-04,1.72E-02
1627216_s_at,-7.67E-02,2.98E-04,1.72E-02
1632098_at,-7.11E-02,2.99E-04,1.72E-02
1625114_at,-2.27E-01,2.99E-04,1.72E-02
1639605_at,7.90E-02,3.00E-04,1.72E-02
1641074_s_at,6.91E-02,3.01E-04,1.72E-02
1628726_s_at,1.01E-01,3.01E-04,1.72E-02
1631680_a_at,9.31E-02,3.05E-04,1.74E-02
1634986_at,7.95E-02,3.12E-04,1.76E-02
1636606_at,7.03E-02,3.12E-04,1.76E-02
1639237_at,8.37E-02,3.12E-04,1.76E-02
1632179_at,8.32E-02,3.13E-04,1.76E-02
1640631_at,1.51E-01,3.14E-04,1.76E-02
1637029_at,9.59E-02,3.18E-04,1.78E-02
1624288_at,-1.31E-01,3.24E-04,1.81E-02
1623173_at,2.51E-01,3.25E-04,1.81E-02
1628543_a_at,9.08E-02,3.28E-04,1.82E-02
1636888_a_at,-1.30E-01,3.29E-04,1.83E-02
1624377_s_at,1.97E-01,3.36E-04,1.86E-02
1629474_at,-1.48E-01,3.42E-04,1.88E-02
1638596_at,-1.30E-01,3.43E-04,1.88E-02
1624997_s_at,-1.13E-01,3.44E-04,1.88E-02
1638586_at,-1.39E-01,3.44E-04,1.88E-02
1629955_at,-2.77E-01,3.45E-04,1.88E-02
1629702_a_at,-1.49E-01,3.46E-04,1.88E-02
1625634_at,-6.84E-02,3.49E-04,1.89E-02
1630244_s_at,-2.87E-01,3.50E-04,1.89E-02
1638810_at,-1.24E-01,3.53E-04,1.90E-02
1638476_s_at,1.86E-01,3.56E-04,1.91E-02
1636089_at,-1.16E-01,3.61E-04,1.93E-02
1623840_at,1.13E-01,3.63E-04,1.94E-02
1637430_s_at,1.40E-01,3.65E-04,1.94E-02
1634373_a_at,1.60E-01,3.67E-04,1.95E-02
1624133_at,8.09E-02,3.71E-04,1.96E-02
1628335_at,-8.33E-02,3.74E-04,1.96E-02
1629046_a_at,-1.34E-01,3.74E-04,1.96E-02
1628149_a_at,6.38E-02,3.74E-04,1.96E-02
1638811_at,1.09E-01,3.75E-04,1.96E-02
1623596_at,8.11E-02,3.82E-04,1.99E-02
1623299_at,1.30E-01,3.93E-04,2.05E-02
1625740_at,9.82E-02,3.99E-04,2.07E-02
1631243_s_at,1.13E-01,4.11E-04,2.13E-02
1624438_at,1.16E-01,4.13E-04,2.13E-02
1638717_at,-1.89E-01,4.21E-04,2.17E-02
1639575_at,1.45E-01,4.24E-04,2.17E-02
1624567_at,-1.27E-01,4.24E-04,2.17E-02
1632335_at,9.90E-02,4.26E-04,2.17E-02
1637056_s_at,1.00E-01,4.28E-04,2.18E-02
1627881_at,-1.90E-01,4.30E-04,2.19E-02
1623972_a_at,-6.03E-02,4.33E-04,2.19E-02
1629176_at,-8.34E-02,4.35E-04,2.19E-02
1640844_s_at,-1.03E-01,4.36E-04,2.19E-02
1630557_at,-7.40E-02,4.36E-04,2.19E-02
1632642_a_at,5.43E-02,4.37E-04,2.19E-02
1629436_at,8.20E-02,4.38E-04,2.19E-02
1626284_at,8.98E-02,4.46E-04,2.22E-02
1623849_s_at,1.34E-01,4.46E-04,2.22E-02
1627181_at,9.34E-02,4.56E-04,2.26E-02
1624042_at,-2.74E-01,4.58E-04,2.27E-02
1641189_a_at,-1.23E-01,4.60E-04,2.27E-02
1627277_s_at,1.75E-01,4.68E-04,2.30E-02
1624802_at,-1.43E-01,4.71E-04,2.31E-02
1641412_at,-2.90E-01,4.75E-04,2.32E-02
1629413_at,8.76E-02,4.77E-04,2.33E-02
1638527_a_at,1.67E-01,4.82E-04,2.35E-02
1626975_at,8.69E-02,4.83E-04,2.35E-02
1630212_at,2.53E-01,4.89E-04,2.37E-02
1630114_at,7.75E-02,4.93E-04,2.38E-02
1622893_at,-1.59E-01,5.02E-04,2.42E-02
1623281_s_at,-1.54E-01,5.05E-04,2.43E-02
1641593_at,-1.19E-01,5.10E-04,2.44E-02
1629743_at,1.20E-01,5.11E-04,2.44E-02
1634174_at,1.32E-01,5.16E-04,2.46E-02
1635343_a_at,1.87E-01,5.17E-04,2.46E-02
1624609_at,1.21E-01,5.19E-04,2.46E-02
1637257_at,-6.81E-02,5.21E-04,2.46E-02
1641582_at,-1.30E-01,5.21E-04,2.46E-02
1625342_at,2.24E-01,5.22E-04,2.46E-02
1634238_a_at,-7.66E-02,5.24E-04,2.46E-02
1638095_at,-9.77E-02,5.24E-04,2.46E-02
1637204_at,-1.06E-01,5.27E-04,2.46E-02
1633002_at,1.65E-01,5.34E-04,2.49E-02
1635475_at,-8.15E-02,5.38E-04,2.50E-02
1637910_at,7.73E-02,5.40E-04,2.51E-02
1640768_at,1.20E-01,5.44E-04,2.52E-02
1625087_a_at,9.06E-02,5.52E-04,2.55E-02
1629385_s_at,9.17E-02,5.55E-04,2.56E-02
1625035_at,-1.40E-01,5.57E-04,2.56E-02
1638550_s_at,-6.69E-02,5.57E-04,2.56E-02
1630513_s_at,8.29E-02,5.59E-04,2.56E-02
1623883_at,-1.04E-01,5.60E-04,2.56E-02
1630981_at,-8.07E-02,5.67E-04,2.58E-02
1641214_at,-6.00E-02,5.81E-04,2.64E-02
1623296_at,-2.38E-01,5.84E-04,2.65E-02
1625984_at,7.36E-02,5.88E-04,2.66E-02
1639076_at,7.77E-02,5.90E-04,2.66E-02
1625436_at,3.74E-01,5.96E-04,2.68E-02
1635210_a_at,1.80E-01,5.97E-04,2.68E-02
1634606_a_at,-6.27E-02,5.98E-04,2.68E-02
1625795_a_at,9.73E-02,6.07E-04,2.71E-02
1628918_at,-2.89E-01,6.23E-04,2.78E-02
1638905_s_at,1.66E-01,6.26E-04,2.78E-02
1637854_at,1.22E-01,6.31E-04,2.80E-02
1634187_x_at,-2.69E-01,6.35E-04,2.81E-02
1625972_at,-1.23E-01,6.36E-04,2.81E-02
1633599_a_at,-1.63E-01,6.38E-04,2.81E-02
1631536_at,-9.65E-02,6.44E-04,2.83E-02
1630012_at,-7.99E-02,6.44E-04,2.83E-02
1627244_at,7.63E-02,6.46E-04,2.83E-02
1630948_s_at,-1.75E-01,6.49E-04,2.83E-02
1624580_at,-1.05E-01,6.53E-04,2.84E-02
1623035_at,1.48E-01,6.59E-04,2.87E-02
1627191_a_at,-1.71E-01,6.63E-04,2.87E-02
1629074_a_at,-9.56E-02,6.64E-04,2.87E-02
1624256_at,-1.47E-01,6.74E-04,2.91E-02
1635374_at,8.68E-02,6.79E-04,2.92E-02
1641349_at,-9.28E-02,6.80E-04,2.92E-02
1631561_s_at,1.93E-01,6.82E-04,2.92E-02
1629601_at,-1.22E-01,6.83E-04,2.92E-02
1631674_at,-8.81E-02,6.86E-04,2.92E-02
1633253_s_at,5.72E-02,6.87E-04,2.92E-02
1641389_at,1.16E-01,6.88E-04,2.92E-02
1634059_at,7.15E-02,6.89E-04,2.92E-02
1628843_at,-2.57E-01,6.93E-04,2.93E-02
1636733_at,1.96E-01,7.02E-04,2.96E-02
1632868_a_at,-1.25E-01,7.03E-04,2.96E-02
1624312_at,-1.19E-01,7.17E-04,3.01E-02
1632916_at,-5.97E-02,7.22E-04,3.03E-02
1640370_at,8.98E-02,7.28E-04,3.05E-02
1639368_at,1.82E-01,7.30E-04,3.05E-02
1623900_a_at,-1.55E-01,7.35E-04,3.06E-02
1626503_at,-2.59E-01,7.38E-04,3.06E-02
1638955_at,1.61E-01,7.39E-04,3.06E-02
1624583_at,-5.74E-02,7.40E-04,3.06E-02
1623643_s_at,1.04E-01,7.59E-04,3.12E-02
1634654_at,-6.44E-02,7.62E-04,3.12E-02
1633872_at,1.77E-01,7.64E-04,3.12E-02
1636546_s_at,-5.28E-02,7.64E-04,3.12E-02
