Probe,logFC,p.val,adj.p.val
1628149_a_at,5.09E-02,5.09E-04,2.39E-02
1632003_a_at,1.10E-01,5.16E-04,2.41E-02
1635892_at,-5.22E-02,5.17E-04,2.41E-02
1627672_at,1.30E-01,5.19E-04,2.41E-02
1623391_at,-1.61E-01,5.19E-04,2.41E-02
1637854_at,8.20E-02,5.22E-04,2.42E-02
1636964_at,8.10E-02,5.28E-04,2.44E-02
1638550_s_at,-5.56E-02,5.29E-04,2.44E-02
1623144_at,-1.05E-01,5.32E-04,2.45E-02
1631104_s_at,-8.26E-02,5.48E-04,2.52E-02
1640276_a_at,-5.10E-02,5.50E-04,2.52E-02
1630035_at,6.73E-02,5.52E-04,2.52E-02
1628969_s_at,6.35E-02,5.53E-04,2.52E-02
1630105_at,8.32E-02,5.58E-04,2.53E-02
1630000_at,-6.50E-02,5.61E-04,2.54E-02
1629738_at,-3.00E-01,5.67E-04,2.56E-02
1641010_at,-4.13E-01,5.69E-04,2.56E-02
1628720_at,-9.49E-01,5.70E-04,2.56E-02
1625538_at,-4.73E-01,5.76E-04,2.58E-02
1627637_at,-2.09E-01,5.76E-04,2.58E-02
1635997_a_at,6.70E-02,5.78E-04,2.58E-02
1637830_s_at,-1.14E-01,5.78E-04,2.58E-02
1630552_at,6.62E-02,5.85E-04,2.60E-02
1630349_at,7.00E-02,5.87E-04,2.61E-02
1634744_at,8.23E-02,6.12E-04,2.70E-02
1638527_a_at,1.59E-01,6.15E-04,2.70E-02
1629359_at,7.06E-02,6.15E-04,2.70E-02
1631250_at,-8.06E-02,6.17E-04,2.70E-02
1633052_at,6.51E-02,6.17E-04,2.70E-02
1633488_at,8.24E-02,6.17E-04,2.70E-02
1631801_at,-2.65E-01,6.24E-04,2.73E-02
1635328_at,-9.60E-02,6.28E-04,2.74E-02
1633439_at,1.36E-01,6.30E-04,2.74E-02
1639222_at,1.88E-01,6.35E-04,2.75E-02
1631168_at,-1.39E-01,6.41E-04,2.77E-02
1637773_s_at,9.16E-02,6.42E-04,2.77E-02
1624137_at,-2.29E-01,6.51E-04,2.80E-02
1638176_at,-6.33E-02,6.53E-04,2.81E-02
1639564_a_at,9.02E-02,6.57E-04,2.82E-02
1627850_at,-5.01E-02,6.62E-04,2.83E-02
1625560_at,8.18E-02,6.63E-04,2.83E-02
1636857_at,-1.23E-01,6.64E-04,2.83E-02
1633471_at,1.77E-01,6.68E-04,2.84E-02
1637223_s_at,-4.35E-02,6.77E-04,2.86E-02
1624156_at,1.22E-01,6.77E-04,2.86E-02
1628474_at,-1.19E-01,6.87E-04,2.89E-02
1636741_s_at,6.27E-02,6.87E-04,2.89E-02
1636245_at,-6.43E-02,6.91E-04,2.90E-02
1637418_at,7.12E-02,7.01E-04,2.94E-02
1623972_a_at,-4.58E-02,7.05E-04,2.94E-02
1630359_at,-3.99E-01,7.05E-04,2.94E-02
1635666_at,-1.40E-01,7.15E-04,2.98E-02
1639741_at,-2.41E-01,7.18E-04,2.98E-02
1628183_at,6.48E-02,7.24E-04,3.00E-02
1635894_at,1.72E-01,7.30E-04,3.02E-02
