Probe,logFC,p.val,adj.p.val
1636085_at,-1.15E-01,4.43E-05,2.20E-03
1634507_s_at,1.80E-01,4.44E-05,2.20E-03
1640410_at,-2.14E-01,4.48E-05,2.21E-03
1628641_at,-1.22E-01,4.55E-05,2.24E-03
1639304_at,-1.45E-01,4.57E-05,2.24E-03
1633251_at,6.61E-01,4.59E-05,2.24E-03
1628076_at,-2.23E-01,4.59E-05,2.24E-03
1632828_at,-1.15E-01,4.62E-05,2.25E-03
1640334_at,9.67E-01,4.67E-05,2.26E-03
1638481_at,-2.78E-01,4.67E-05,2.26E-03
1623643_s_at,-1.89E-01,4.69E-05,2.27E-03
1623147_at,-1.07E-01,4.76E-05,2.29E-03
1636071_a_at,3.03E-01,4.76E-05,2.29E-03
1640687_at,-1.79E-01,4.83E-05,2.32E-03
1636804_at,-2.38E-01,4.86E-05,2.33E-03
1622921_at,-1.02E-01,4.91E-05,2.34E-03
1625193_at,-3.39E-01,4.92E-05,2.34E-03
1636657_at,2.46E-01,4.98E-05,2.36E-03
1624159_at,-3.11E-01,5.04E-05,2.39E-03
1631243_s_at,-1.95E-01,5.06E-05,2.39E-03
1635894_at,-3.27E-01,5.08E-05,2.39E-03
1639826_at,-1.77E-01,5.10E-05,2.40E-03
1639442_a_at,-4.72E-01,5.12E-05,2.40E-03
1639292_at,2.54E-01,5.15E-05,2.41E-03
1635482_at,-1.31E-01,5.18E-05,2.41E-03
1624204_at,-1.71E-01,5.18E-05,2.41E-03
1631039_at,1.81E-01,5.26E-05,2.44E-03
1641290_at,-2.42E-01,5.29E-05,2.45E-03
1631439_at,2.89E-01,5.33E-05,2.46E-03
1637479_at,-1.08E-01,5.34E-05,2.46E-03
1641025_at,-1.02E-01,5.35E-05,2.46E-03
1638811_at,-1.86E-01,5.39E-05,2.47E-03
1630112_at,1.77E-01,5.43E-05,2.49E-03
1633470_at,-2.91E-01,5.46E-05,2.49E-03
1639577_at,-1.99E-01,5.46E-05,2.49E-03
1634844_at,1.59E-01,5.62E-05,2.56E-03
1631614_at,1.61E-01,5.79E-05,2.62E-03
1638452_at,1.94E-01,5.80E-05,2.62E-03
